Rank,"Name, Team",Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG
236.0,"Raven Lee, Eastern Mich.",Sr.,2023-06-03 00:00:00,G,29,144,53,114,455,15.7
237.0,"Omar Prewitt, William & Mary",Sr.,2023-06-07 00:00:00,G,30,175,45,75,470,15.7
238.0,"Willie Mangum IV, Eastern Mich.",Sr.,2023-06-01 00:00:00,G,32,172,93,64,501,15.7
239.0,"Eli Cain, DePaul",So.,2023-06-06 00:00:00,G,32,169,51,111,500,15.6
,"Reginal Johnson, Alcorn",Jr.,2023-06-05 00:00:00,F,32,204,27,65,500,15.6
241.0,"Charles Williams, Howard",Fr.,2023-06-06 00:00:00,G,34,179,66,107,531,15.6
242.0,"Rodney Williams, Drexel",Sr.,2023-06-07 00:00:00,F,32,184,3,128,499,15.6
243.0,"Brett Bailey, San Diego",Sr.,2023-06-06 00:00:00,F,31,155,33,140,483,15.6
,"Jermaine Marrow, Hampton",Fr.,6-0,G,31,160,42,121,483,15.6
245.0,"Lauri Markkanen, Arizona",Fr.,7-0,F,37,185,69,137,576,15.6
246.0,"Donovan Mitchell, Louisville",So.,2023-06-03 00:00:00,G,34,181,80,87,529,15.6
247.0,"Jimmie Taylor, Rider",Sr.,2023-06-04 00:00:00,G,33,170,67,106,513,15.5
248.0,"Mike Miklusak, Western Ill.",Sr.,2023-06-06 00:00:00,F,23,122,61,52,357,15.5
249.0,"Geno Crandall, North Dakota",So.,2023-06-03 00:00:00,G,31,163,38,117,481,15.5
250.0,"Derrick Walton Jr., Michigan",Sr.,2023-06-01 00:00:00,G,38,171,98,149,589,15.5
,"Bryce Alford, UCLA",Sr.,2023-06-03 00:00:00,G,36,173,116,96,558,15.5
,"Lamarr Kimble, Saint Joseph's",So.,6-0,G,24,127,40,78,372,15.5
